event,country,date,vei,plume_km,deaths,evacuees_or_affected,airports_closed,closure_duration,flights_cancelled,passengers_affected,economic_loss,loss_source,aviation_note,primary_sources
Agung,Indonesia,2017-11-21 to 29,3,~4,0,~140000 evacuated,Ngurah Rai Bali (27-29 Nov); Lombok,~2.5 days,445 (day one),59000 day one; 89000 cumulative; ~120000 tourists stranded,Rp 11 tn (US$812 m) incl. Rp 9 tn tourism (BNPB); arrivals -70%,BNPB via Jakarta Globe; Atlantis Press 2018,~100 buses to Surabaya (12 h) Yogyakarta (18 h) Banyuwangi (6 h) Jakarta (25 h),bali-airport.com; ABC; Antara
Fuego,Guatemala,2018-06-03,3,~15,190+,>12000 evacuated,La Aurora Guatemala City,~1 day,n/a,n/a,see global sheet,see global sheet,,see global sheet
Anak Krakatau (collapse),Indonesia,2018-12-22,3,~16 (post-collapse),437,31942 injured; 10 missing,none closed; all flights rerouted 27 Dec,rerouting days,20-25 rerouted,n/a,Tourism: Anyer occupancy -10%; >20 hotels damaged Rp 5 bn; >50% Pandeglang tourism jobs lost; ferry pax -44% next day,Tempo; IOP 704 012007; KBR,Flank collapse ~0.2 km3; tsunami,Grilli et al. 2019; Muhari et al. 2020
Taal,Philippines,2020-01-12,4,10-15,39 (mostly indirect),135610 in centres; 736802 affected,Manila NAIA (12-13 Jan),~1 day full + partial,516-604,~80000,NEDA foregone income up to PHP 6.7 bn; damage >PHP 8.4 bn; agriculture PHP 3.06 bn,NEDA; RDRRMC IV-A; DA,NAIA 60 km from Taal,MIAA; NDRRMC; IFRC DREF
Soufriere St Vincent,St Vincent,2021-04-09,4,~16,0,~20000 evacuated,Argyle,weeks,n/a,n/a,see global sheet,see global sheet,Cruise-ship evacuation,see global sheet
Nyiragongo,DR Congo,2021-05-22,1-2 (effusive),n/a,32,~400000 displaced,Goma (lava reached runway edge),days,n/a,n/a,see global sheet,see global sheet,,see global sheet
Cumbre Vieja,Spain (La Palma),2021-09-19 to 12-13,3,~5,1,~7000 evacuated,La Palma (intermittent),85-day eruption; airport closed multiple days,n/a,n/a,EUR 843 m+ damage,see global sheet,,see global sheet
Semeru,Indonesia,2021-12-04,3,~15,51-69 (conflicting),10655 displaced,none significant,none,0,0,n/a,BNPB,PDC/dome collapse,ReliefWeb
Hunga Tonga-Hunga Ha'apai,Tonga,2022-01-15,5-6,~57,4-6,~85% population affected,Fua'amotu (ash clearing days),days,n/a,n/a,US$90.4 m (18.5% GDP) World Bank; undersea cable cut ~5 weeks,World Bank 2022,Largest plume on record,see global sheet
Popocatepetl,Mexico,2023-05,2-3,~6-7,0,n/a,Mexico City AICM (May 2023 several hours x2); Puebla,hours,~hundreds delayed,n/a,see global sheet,see global sheet,25 m people within exposure,see global sheet
Ruang,Indonesia,2024-04-16 to 05-01,4,13.7-19.2,0,~11000-12000 evacuated,7 (Sam Ratulangi Manado; Gorontalo; Siau; Bolaang Mongondow; Tahuna; Pohuwato; Pogogul),Manado ~3 days + again 30 Apr-1 May,150 (Manado by 20 Apr),19085 (Manado by 20 Apr),n/a,Antara,,GVP; Tempo; Antara
Lewotobi Laki-laki,Indonesia,2024-11-03 to 2025-11,3-4,~11-18,10,10295 affected,none closed; Bali intl flights cancelled,recurring days,83+32 (Nov 2024); >=32 (Jun 2025); >=24 (Jul 2025),~14000 (Jun 2025),n/a,Kemenhub via Al Jazeera,Ash 700+ km from Bali still cancels AU/SG flights,ABC; Al Jazeera; CNN
Anak Krakatau,Indonesia,2026-09-04 onward (ongoing),3 (provisional),15,0 (as of 7 Sep),n/a,8 (CGK; HLP; TKG; BDO; Budiarto; Pondok Cabe; Taufiq Kiemas; Atungbusu),CGK closed 6 Sep ~01:30 and again to 7 Sep 18:00 (ongoing),1558 (6 Sep Kemenhub) / 2961 (7 Sep SCI),170000 (6 Sep) / >270000 / 341000 (7 Sep),INACA Rp 19 bn/day airlines; SCI US$84 m/day trade flow at CGK; INDEF GDP -0.003%,INACA; SCI; INDEF,10 alternates on 24-h ops; free rail/bus/Whoosh onward,see krakatau_2026_timeline.csv
